zip,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
25540,*,*,*
25541,296,*,*
25544,*,*,*
25545,119,*,*
25547,15,*,*
25550,201,*,*
25555,44,*,*
25557,32,*,*
25559,58,*,*
25560,228,203,"$1,138"
25562,*,*,*
25564,22,*,*
25565,19,*,*
25567,23,*,*
25570,139,*,*
25571,45,*,*
25573,13,*,*
25601,193,*,*
25606,25,*,*
25607,30,*,*
25608,11,*,*
25611,13,*,*
25612,*,*,*
25614,*,*,*
25617,17,*,*
25621,58,*,*
25624,*,*,*
25625,20,*,*
25628,16,*,*
25630,11,*,*
25632,18,*,*
25634,11,*,*
25635,46,*,*
25637,18,*,*
25638,21,*,*
25639,12,*,*
25644,*,*,*
25646,14,*,*
25647,*,*,*
25649,26,*,*
25650,*,*,*
25651,19,*,*
25652,15,*,*
25653,11,*,*
25654,*,*,*
25661,136,*,*
25666,*,*,*
25667,*,*,*
25669,15,*,*
25670,126,*,*
25671,31,*,*
25672,*,*,*
25674,56,*,*
25676,34,*,*
25678,45,*,*
25685,*,*,*
25688,*,*,*
25690,*,*,*
25691,*,*,*
25692,*,*,*
25696,*,*,*
25699,*,*,*
25701,856,822,"$1,041"
25702,281,*,*
25703,142,*,*
25704,481,*,*
25705,662,647,"$1,065"
25711,*,*,*
25717,*,*,*
25801,977,950,$978
25802,*,*,*
25810,*,*,*
25811,*,*,*
25812,39,*,*
25813,154,*,*
25817,18,*,*
25818,*,*,*
25820,*,*,*
25823,46,*,*
25825,42,*,*
25826,*,*,*
25827,68,*,*
25831,31,*,*
25832,158,140,$841
25836,15,*,*
25837,*,*,*
25839,25,*,*
25840,256,*,*
25841,*,*,*
25843,27,*,*
25844,25,*,*
25845,14,*,*
25846,*,*,*
25848,*,*,*
25849,*,*,*
25851,*,*,*
25854,27,*,*
25855,*,*,*
25857,*,*,*
25862,20,*,*
25864,*,*,*
25865,28,*,*
25866,*,*,*
25868,17,*,*
25870,*,*,*
25871,29,*,*
25873,16,*,*
25875,*,*,*
25878,26,*,*
25879,14,*,*
25880,143,*,*
25882,54,*,*
25901,321,*,*
25902,*,*,*
25904,*,*,*
25906,*,*,*
25907,*,*,*
25908,*,*,*
25909,*,*,*
25911,*,*,*
25913,*,*,*
25915,*,*,*
25917,61,*,*
25918,118,*,*
25919,*,*,*
25920,*,*,*
25921,66,*,*
25922,11,*,*
25928,*,*,*
25932,*,*,*
25936,*,*,*
25938,18,*,*
25942,*,*,*
25943,*,*,*
25951,122,*,*
25958,25,*,*
25962,109,*,*
25966,*,*,*
25969,27,*,*
25971,32,*,*
25972,*,*,*
25976,59,*,*
25977,*,*,*
25978,*,*,*
25979,20,*,*
25981,26,*,*
25984,36,*,*
25985,13,*,*
25986,*,*,*
25989,12,*,*
26003,"1,041",987,$947
26030,12,*,*
26031,38,*,*
26032,28,11,$771
26033,57,*,*
26034,115,*,*
26035,53,*,*
26036,19,*,*
26037,186,*,*
26038,72,*,*
26039,17,*,*
26040,34,*,*
26041,381,*,*
26047,162,*,*
26050,38,*,*
26055,40,*,*
26056,*,*,*
26059,86,*,*
26060,40,*,*
26062,658,637,$985
26070,201,*,*
26074,*,*,*
26075,16,*,*
26101,909,*,*
26103,*,*,*
26104,464,443,"$1,046"
26105,293,276,"$1,055"
26106,*,*,*
26133,31,*,*
26134,*,*,*
26136,12,*,*
26137,18,*,*
26138,*,*,*
26141,*,*,*
26142,47,*,*
26143,108,*,*
26146,22,*,*
26147,54,*,*
26148,*,*,*
26149,55,*,*
26150,116,*,*
26151,18,*,*
26152,*,*,*
26155,255,*,*
26159,58,*,*
26160,22,*,*
26161,16,*,*
26162,*,*,*
26164,149,*,*
26167,17,*,*
26169,17,*,*
26170,108,*,*
26175,68,*,*
26178,*,*,*
26180,58,*,*
26181,101,*,*
26184,59,*,*
26187,94,*,*
26201,588,572,"$1,041"
26202,15,*,*
26203,*,*,*
26205,95,*,*
26206,75,*,*
26208,14,*,*
26209,12,*,*
26210,*,*,*
26215,*,*,*
26217,*,*,*
26218,74,*,*
26222,16,*,*
26224,*,*,*
26228,*,*,*
26230,*,*,*
26234,23,*,*
26237,25,*,*
26238,21,*,*
26241,432,*,*
26250,173,*,*
26253,121,*,*
26254,20,*,*
26257,23,*,*
26259,*,*,*
26260,78,*,*
26261,63,*,*
26263,22,*,*
26264,15,*,*
26266,*,*,*
26267,*,*,*
26268,*,*,*
26269,29,*,*
26270,20,*,*
26271,*,*,*
26273,35,*,*
26275,*,*,*
26276,11,*,*
26278,18,*,*
26280,74,*,*
26282,*,*,*
26283,42,*,*
26285,11,*,*
26287,67,*,*
26288,62,*,*
26289,*,*,*
26291,18,*,*
26292,50,*,*
26293,14,*,*
26294,38,*,*
26296,*,*,*
26301,881,861,"$1,034"
26302,*,*,*
26320,*,*,*
26321,*,*,*
26323,*,*,*
26325,*,*,*
26330,413,381,$988
26335,22,*,*
26337,22,*,*
26338,18,*,*
26339,*,*,*
26342,*,*,*
26343,15,*,*
26346,11,*,*
26347,56,*,*
26348,*,*,*
26349,*,*,*
26351,90,*,*
26354,236,*,*
26361,*,*,*
26362,52,*,*
26369,*,*,*
26372,24,*,*
26374,43,*,*
26376,19,*,*
26377,18,*,*
26378,133,*,*
26384,15,*,*
26385,109,*,*
26386,57,*,*
26404,11,*,*
26405,37,*,*
26408,63,*,*
26410,35,*,*
26411,*,*,*
26412,17,*,*
26415,57,*,*
26416,163,*,*
26419,25,*,*
26421,*,*,*
26422,*,*,*
26424,*,*,*
26425,14,*,*
26426,168,*,*
26430,15,*,*
26431,155,*,*
26434,*,*,*
26435,*,*,*
26436,*,*,*
26437,*,*,*
26438,*,*,*
26440,30,*,*
26443,*,*,*
26444,74,*,*
26447,31,*,*
26448,27,*,*
26451,15,*,*
26452,313,*,*
26456,92,*,*
26501,658,631,$919
26505,828,780,$902
26506,*,*,*
26507,*,*,*
26508,"1,117","1,034",$925
26519,68,*,*
26520,18,*,*
26521,11,*,*
26524,*,*,*
26525,184,*,*
26531,*,*,*
26534,19,*,*
26537,137,*,*
26541,81,*,*
26542,74,*,*
26543,*,*,*
26544,*,*,*
26546,*,*,*
26547,60,*,*
26554,"1,068","1,024","$1,004"
26559,24,*,*
26560,*,*,*
26562,17,*,*
26563,*,*,*
26568,13,*,*
26570,79,*,*
26571,57,*,*
26572,*,*,*
26574,13,*,*
26575,11,*,*
26576,*,*,*
26578,*,*,*
26581,31,*,*
26582,134,*,*
26585,*,*,*
26586,*,*,*
26587,*,*,*
26588,79,*,*
26590,*,*,*
26591,40,*,*
26601,123,*,*
26610,50,38,"$1,139"
26611,*,*,*
26615,*,*,*
26617,*,*,*
26619,26,*,*
26621,20,*,*
26623,33,*,*
26624,58,*,*
26627,*,*,*
26629,14,*,*
26631,*,*,*
26636,*,*,*
26638,*,*,*
26651,291,*,*
26656,17,*,*
26660,*,*,*
26662,23,*,*
26667,*,*,*
26671,*,*,*
26676,11,*,*
26678,44,*,*
26679,65,*,*
26680,*,*,*
26681,57,*,*
26684,*,*,*
26690,14,*,*
26691,*,*,*
26704,134,*,*
26705,30,*,*
26707,*,*,*
26710,45,*,*
26711,88,*,*
26714,13,*,*
26716,21,*,*
26717,28,*,*
26719,52,*,*
26720,*,*,*
26722,11,*,*
26726,400,388,"$1,024"
26731,*,*,*
26739,17,*,*
26743,37,*,*
26750,22,*,*
26753,156,145,$955
26755,22,*,*
26757,182,*,*
26761,12,*,*
26763,53,*,*
26764,95,*,*
26767,15,*,*
26801,51,*,*
26802,42,*,*
26804,25,*,*
26807,110,*,*
26808,30,*,*
26810,12,*,*
26812,69,*,*
26814,*,*,*
26815,26,*,*
26817,18,*,*
26818,34,*,*
26823,*,*,*
26833,59,*,*
26836,225,*,*
26845,23,*,*
26847,183,*,*
26851,67,*,*
26852,25,*,*
26855,11,*,*
26865,22,*,*
26866,37,*,*
26884,14,*,*
26886,*,*,*
27006,"1,136","1,068",$455
27007,158,*,*
27009,255,238,$481
27010,11,*,*
27011,401,386,$509
27012,"2,273","2,140",$464
27013,583,568,$561
27014,78,*,*
27016,119,*,*
27017,663,636,$527
27018,592,561,$527
27019,286,275,$533
27020,489,*,*
27021,"1,207","1,143",$506
27022,148,*,*
27023,"1,001",922,$458
27024,225,*,*
27025,819,789,$543
27027,270,*,*
27028,"2,195","2,113",$498
27030,"3,213","3,098",$531
27031,*,*,*
27040,"1,044",990,$462
27041,582,555,$519
27042,34,*,*
27043,436,417,$520
27045,810,770,$482
27046,159,*,*
27047,114,*,*
27048,602,577,$556
27049,*,*,*
27050,340,320,$485
27051,747,728,$497
27052,838,817,$538
27053,283,270,$545
27054,244,232,$583
27055,"1,131","1,089",$503
27099,*,*,*
